country,continent,year,lifeExp,pop,gdpPercap,pop_indicator,lifeExp_indicator
Afghanistan,Asia,1952,28.801,8425333,779.4453145,low,low
Afghanistan,Asia,1957,30.332,9240934,820.8530296,low,low
Afghanistan,Asia,1962,31.997,10267083,853.10071,low,low
Afghanistan,Asia,1967,34.02,11537966,836.1971382,low,low
Afghanistan,Asia,1972,36.088,13079460,739.9811058,low,low
Afghanistan,Asia,1977,38.438,14880372,786.11336,low,low
Afghanistan,Asia,1982,39.854,12881816,978.0114388,low,low
Afghanistan,Asia,1987,40.822,13867957,852.3959448,low,low
Afghanistan,Asia,1992,41.674,16317921,649.3413952,low,low
Afghanistan,Asia,1997,41.763,22227415,635.341351,low,low
Afghanistan,Asia,2002,42.129,25268405,726.7340548,low,low
Afghanistan,Asia,2007,43.828,31889923,974.5803384,low,low
Bahrain,Asia,1952,50.939,120447,9867.084765,low,low
Bahrain,Asia,1957,53.832,138655,11635.79945,low,low
Bahrain,Asia,1962,56.923,171863,12753.27514,low,low
Bahrain,Asia,1967,59.923,202182,14804.6727,low,low
Bahrain,Asia,1972,63.3,230800,18268.65839,low,low
Bahrain,Asia,1977,65.593,297410,19340.10196,low,low
Bahrain,Asia,1982,69.052,377967,19211.14731,low,low
Bahrain,Asia,1987,70.75,454612,18524.02406,low,low
Bahrain,Asia,1992,72.601,529491,19035.57917,low,low
Bahrain,Asia,1997,73.925,598561,20292.01679,low,low
Bahrain,Asia,2002,74.795,656397,23403.55927,low,low
Bahrain,Asia,2007,75.635,708573,29796.04834,low,low
Bangladesh,Asia,1952,37.484,46886859,684.2441716,low,low
Bangladesh,Asia,1957,39.348,51365468,661.6374577,low,low
Bangladesh,Asia,1962,41.216,56839289,686.3415538,low,low
Bangladesh,Asia,1967,43.453,62821884,721.1860862,low,low
Bangladesh,Asia,1972,45.252,70759295,630.2336265,low,low
Bangladesh,Asia,1977,46.923,80428306,659.8772322,high,low
Bangladesh,Asia,1982,50.009,93074406,676.9818656,high,low
Bangladesh,Asia,1987,52.819,103764241,751.9794035,high,low
Bangladesh,Asia,1992,56.018,113704579,837.8101643,high,low
Bangladesh,Asia,1997,59.412,123315288,972.7700352,high,low
Bangladesh,Asia,2002,62.013,135656790,1136.39043,high,low
Bangladesh,Asia,2007,64.062,150448339,1391.253792,high,low
Cambodia,Asia,1952,39.417,4693836,368.4692856,low,low
Cambodia,Asia,1957,41.366,5322536,434.0383364,low,low
Cambodia,Asia,1962,43.415,6083619,496.9136476,low,low
Cambodia,Asia,1967,45.415,6960067,523.4323142,low,low
Cambodia,Asia,1972,40.317,7450606,421.6240257,low,low
Cambodia,Asia,1977,31.22,6978607,524.9721832,low,low
Cambodia,Asia,1982,50.957,7272485,624.4754784,low,low
Cambodia,Asia,1987,53.914,8371791,683.8955732,low,low
Cambodia,Asia,1992,55.803,10150094,682.3031755,low,low
Cambodia,Asia,1997,56.534,11782962,734.28517,low,low
Cambodia,Asia,2002,56.752,12926707,896.2260153,low,low
Cambodia,Asia,2007,59.723,14131858,1713.778686,low,low
China,Asia,1952,44,556263527,400.448611,high,low
China,Asia,1957,50.54896,637408000,575.9870009,high,low
China,Asia,1962,44.50136,665770000,487.6740183,high,low
China,Asia,1967,58.38112,754550000,612.7056934,high,low
China,Asia,1972,63.11888,862030000,676.9000921,high,low
China,Asia,1977,63.96736,943455000,741.2374699,high,low
China,Asia,1982,65.525,1000281000,962.4213805,high,low
China,Asia,1987,67.274,1084035000,1378.904018,high,low
China,Asia,1992,68.69,1164970000,1655.784158,high,low
China,Asia,1997,70.426,1230075000,2289.234136,high,low
China,Asia,2002,72.028,1280400000,3119.280896,high,low
China,Asia,2007,72.961,1318683096,4959.114854,high,low
"Hong Kong, China",Asia,1952,60.96,2125900,3054.421209,low,low
"Hong Kong, China",Asia,1957,64.75,2736300,3629.076457,low,low
"Hong Kong, China",Asia,1962,67.65,3305200,4692.648272,low,low
"Hong Kong, China",Asia,1967,70,3722800,6197.962814,low,low
"Hong Kong, China",Asia,1972,72,4115700,8315.928145,low,low
"Hong Kong, China",Asia,1977,73.6,4583700,11186.14125,low,low
"Hong Kong, China",Asia,1982,75.45,5264500,14560.53051,low,low
"Hong Kong, China",Asia,1987,76.2,5584510,20038.47269,low,low
"Hong Kong, China",Asia,1992,77.601,5829696,24757.60301,low,low
"Hong Kong, China",Asia,1997,80,6495918,28377.63219,low,low
"Hong Kong, China",Asia,2002,81.495,6762476,30209.01516,low,low
"Hong Kong, China",Asia,2007,82.208,6980412,39724.97867,low,low
India,Asia,1952,37.373,372000000,546.5657493,high,low
India,Asia,1957,40.249,409000000,590.061996,high,low
India,Asia,1962,43.605,454000000,658.3471509,high,low
India,Asia,1967,47.193,506000000,700.7706107,high,low
India,Asia,1972,50.651,567000000,724.032527,high,low
India,Asia,1977,54.208,634000000,813.337323,high,low
India,Asia,1982,56.596,708000000,855.7235377,high,low
India,Asia,1987,58.553,788000000,976.5126756,high,low
India,Asia,1992,60.223,872000000,1164.406809,high,low
India,Asia,1997,61.765,959000000,1458.817442,high,low
India,Asia,2002,62.879,1034172547,1746.769454,high,low
India,Asia,2007,64.698,1110396331,2452.210407,high,low
Indonesia,Asia,1952,37.468,82052000,749.6816546,high,low
Indonesia,Asia,1957,39.918,90124000,858.9002707,high,low
Indonesia,Asia,1962,42.518,99028000,849.2897701,high,low
Indonesia,Asia,1967,45.964,109343000,762.4317721,high,low
Indonesia,Asia,1972,49.203,121282000,1111.107907,high,low
Indonesia,Asia,1977,52.702,136725000,1382.702056,high,low
Indonesia,Asia,1982,56.159,153343000,1516.872988,high,low
Indonesia,Asia,1987,60.137,169276000,1748.356961,high,low
Indonesia,Asia,1992,62.681,184816000,2383.140898,high,low
Indonesia,Asia,1997,66.041,199278000,3119.335603,high,low
Indonesia,Asia,2002,68.588,211060000,2873.91287,high,low
